Brandname,Description,Price,Url,Sizes
VETEMENTS,I Got Lucky-print T-shirt,$937,https://www.farfetch.com/in/shopping/women/vetements-i-got-lucky-print-t-shirt-item-18694754.aspx?storeid=9502,"XS, M"
Balenciaga,Signature BB canvas tote bag,"$1,070",https://www.farfetch.com/in/shopping/women/balenciaga-signature-bb-canvas-tote-bag-item-18452667.aspx?storeid=13539,One Size
VETEMENTS,I Got Lucky long-sleeve hoodie,"$2,273",https://www.farfetch.com/in/shopping/women/vetements-i-got-lucky-long-sleeve-hoodie-item-18693956.aspx?storeid=12609,XS
Dion Lee,ribbed-knit tank top,$465,https://www.farfetch.com/in/shopping/women/dion-lee-ribbed-knit-tank-top-item-18380284.aspx?storeid=9834,See all sizes
Maison Kitsuné,Fox Stamp tote bag,$363,https://www.farfetch.com/in/shopping/women/maison-kitsune-fox-stamp-tote-bag-item-18539757.aspx?storeid=11365,One Size
Balenciaga,BB-monogram shoulder bag,$830,https://www.farfetch.com/in/shopping/women/balenciaga-bb-monogram-shoulder-bag-item-18454540.aspx?storeid=13539,One Size
Maison Kitsuné,logo-patch clutch bag,$534,https://www.farfetch.com/in/shopping/women/maison-kitsune-logo-patch-clutch-bag-item-18538764.aspx?storeid=11365,One Size
VETEMENTS,slogan-print T-shirt,$634,https://www.farfetch.com/in/shopping/women/vetements-slogan-print-t-shirt-item-18672204.aspx?storeid=10012,"XS, S"
Balenciaga,graphic logo-print T-shirt,$830,https://www.farfetch.com/in/shopping/women/balenciaga-graphic-logo-print-t-shirt-item-18593061.aspx?storeid=13539,"XXS, XS, S, M, L"
Etudes,tinted rectangle-frame sunglasses,$491,https://www.farfetch.com/in/shopping/women/etudes-tinted-rectangle-frame-sunglasses-item-18725591.aspx?storeid=9462,One Size
Palm Angels,Pasadena square-frame sunglasses,$592,https://www.farfetch.com/in/shopping/women/palm-angels-pasadena-square-frame-sunglasses-item-18641016.aspx?storeid=12592,One Size
VETEMENTS,text print T-shirt,$720,https://www.farfetch.com/in/shopping/women/vetements-text-print-t-shirt-item-18529242.aspx?storeid=9597,"XS, S, M, L, XL"
Acne Studios,logo-patch sweatshirt,$428,https://www.farfetch.com/in/shopping/women/acne-studios-logo-patch-sweatshirt-item-18330510.aspx?storeid=11786,"XXS, XS, S, M, L, XL"
Balenciaga,layered-effect distressed T-shirt,$950,https://www.farfetch.com/in/shopping/women/balenciaga-layered-effect-distressed-t-shirt-item-18482578.aspx?storeid=13539,"M, L"
Retrosuperfuture,square-frame sunglasses,$360,https://www.farfetch.com/in/shopping/women/retrosuperfuture-square-frame-sunglasses-item-18696379.aspx?storeid=11485,One Size
Supreme,x Mitchell & Ness patchwork baseball jersey,$420,https://www.farfetch.com/in/shopping/women/supreme-x-mitchell-ness-patchwork-baseball-jersey-item-18620571.aspx?storeid=11218,"S, M, L, XL"
Supreme,stretch crew-neck sweatshirt ,$373,https://www.farfetch.com/in/shopping/women/supreme-stretch-crew-neck-sweatshirt-item-18619563.aspx?storeid=11218,"S, M, L, XL"
Retrosuperfuture,square-frame sunglasses,$250,https://www.farfetch.com/in/shopping/women/retrosuperfuture-square-frame-sunglasses-item-18701556.aspx?storeid=10144,One Size
Retrosuperfuture,Certo round-frame sunglasses,$349,https://www.farfetch.com/in/shopping/women/retrosuperfuture-certo-round-frame-sunglasses-item-18696353.aspx?storeid=11485,One Size
Lesca,tortoise round-frame sunglasses,$495,https://www.farfetch.com/in/shopping/women/lesca-tortoise-round-frame-sunglasses-item-18587788.aspx?storeid=11485,One Size
Société Anonyme,mid-rise cropped trousers,$358,https://www.farfetch.com/in/shopping/women/societe-anonyme-mid-rise-cropped-trousers-item-18569609.aspx?storeid=9006,"XS, S, M, L, XL"
Kuboraum,U8 rectangle-frame sunglasses,$595,https://www.farfetch.com/in/shopping/women/kuboraum-u8-rectangle-frame-sunglasses-item-18691327.aspx?storeid=9421,XS
Sporty & Rich,Fitness Group logo-print sweatshirt,$263,https://www.farfetch.com/in/shopping/women/sporty-rich-fitness-group-logo-print-sweatshirt-item-18671897.aspx?storeid=9446,"XS, S, M, L"
Kenzo,Kampus Tiger embroidered backpack,$330,https://www.farfetch.com/in/shopping/women/kenzo-kampus-tiger-embroidered-backpack-item-18604229.aspx?storeid=9306,One Size
Officine Creative,zip-around leather backpack,"$1,059",https://www.farfetch.com/in/shopping/women/officine-creative-zip-around-leather-backpack-item-18671696.aspx?storeid=12831,One Size
